Publication,Year_FY,Published_Date,Zone_No,Zone_Name,NHH_Zonal_p/kWh,NHH_SGD_Adjustment_p/kWh,NHHTariff(Floored)_p/kWh
Forecast,2026,30/04/2021,11,South East,0.192642,0.000000,0.192642
Forecast,2026,30/04/2021,12,London,0.388562,0.000000,0.388562
Forecast,2026,30/04/2021,13,Southern,0.591774,0.000000,0.591774
Forecast,2026,30/04/2021,14,South Western,1.358419,0.000000,1.358419
Forecast,2027,30/04/2021,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,3,Northern,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,4,North West,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,8,Midlands,0.098127,0.000000,0.098127
Forecast,2027,30/04/2021,9,Eastern,0.000000,0.000000,0.000000
Forecast,2027,30/04/2021,10,South Wales,0.935237,0.000000,0.935237
Forecast,2027,30/04/2021,11,South East,0.156505,0.000000,0.156505
Forecast,2027,30/04/2021,12,London,0.372622,0.000000,0.372622
Forecast,2027,30/04/2021,13,Southern,0.610218,0.000000,0.610218
Forecast,2027,30/04/2021,14,South Western,1.591817,0.000000,1.591817
Final,2021,31/01/2020,1,Northern Scotland,2.656777,0.085865,2.742642
Final,2021,31/01/2020,2,Southern Scotland,3.443130,0.085865,3.528995
Final,2021,31/01/2020,3,Northern,4.682502,0.085865,4.768367
Final,2021,31/01/2020,4,North West,5.649326,0.085865,5.735191
Final,2021,31/01/2020,5,Yorkshire,5.559549,0.085865,5.645414
Final,2021,31/01/2020,6,N Wales & Mersey,5.725779,0.085865,5.811644
Final,2021,31/01/2020,7,East Midlands,6.195258,0.085865,6.281123
Final,2021,31/01/2020,8,Midlands,6.439629,0.085865,6.525494
Final,2021,31/01/2020,9,Eastern,6.908355,0.085865,6.994220
Final,2021,31/01/2020,10,South Wales,5.509040,0.085865,5.594905
Final,2021,31/01/2020,11,South East,7.425472,0.085865,7.511337
Final,2021,31/01/2020,12,London,5.742377,0.085865,5.828242
Final,2021,31/01/2020,13,Southern,7.050438,0.085865,7.136303
Final,2021,31/01/2020,14,South Western,7.522941,0.085865,7.608806
Draft,2022,30/11/2020,1,Northern Scotland,2.731383,0.000000,2.731383
Draft,2022,30/11/2020,2,Southern Scotland,3.774643,0.000000,3.774643
Draft,2022,30/11/2020,3,Northern,5.168770,0.000000,5.168770
Draft,2022,30/11/2020,4,North West,6.135768,0.000000,6.135768
Draft,2022,30/11/2020,5,Yorkshire,6.035617,0.000000,6.035617
Draft,2022,30/11/2020,6,N Wales & Mersey,6.122775,0.000000,6.122775
Draft,2022,30/11/2020,7,East Midlands,6.711876,0.000000,6.711876
Draft,2022,30/11/2020,8,Midlands,7.022124,0.000000,7.022124
Draft,2022,30/11/2020,9,Eastern,7.388941,0.000000,7.388941
Draft,2022,30/11/2020,10,South Wales,6.570524,0.000000,6.570524
Draft,2022,30/11/2020,11,South East,7.861029,0.000000,7.861029
Draft,2022,30/11/2020,12,London,6.340861,0.000000,6.340861
Draft,2022,30/11/2020,13,Southern,7.653066,0.000000,7.653066
Draft,2022,30/11/2020,14,South Western,8.596217,0.000000,8.596217
Final,2022,31/01/2021,1,Northern Scotland,2.723726,0.000000,2.731383
Final,2022,31/01/2021,2,Southern Scotland,3.712996,0.000000,3.774643
Final,2022,31/01/2021,3,Northern,5.139134,0.000000,5.168770
Final,2022,31/01/2021,4,North West,6.039881,0.000000,6.135768
Final,2022,31/01/2021,5,Yorkshire,5.963751,0.000000,6.035617
Final,2022,31/01/2021,6,N Wales & Mersey,6.060647,0.000000,6.122775
Final,2022,31/01/2021,7,East Midlands,6.641922,0.000000,6.711876
Final,2022,31/01/2021,8,Midlands,6.937534,0.000000,7.022124
Final,2022,31/01/2021,9,Eastern,7.355652,0.000000,7.388941
Final,2022,31/01/2021,10,South Wales,6.514291,0.000000,6.570524
Final,2022,31/01/2021,11,South East,7.738980,0.000000,7.861029
Final,2022,31/01/2021,12,London,6.378699,0.000000,6.340861
Final,2022,31/01/2021,13,Southern,7.574864,0.000000,7.653066
Final,2022,31/01/2021,14,South Western,8.488355,0.000000,8.596217
Forecast,2023,31/08/2020,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,3,Northern,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,4,North West,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,8,Midlands,0.083836,0.000000,0.083836
Forecast,2023,31/08/2020,9,Eastern,0.207804,0.000000,0.207804
Forecast,2023,31/08/2020,10,South Wales,0.000000,0.000000,0.000000
Forecast,2023,31/08/2020,11,South East,0.658112,0.000000,0.658112
Forecast,2023,31/08/2020,12,London,0.726469,0.000000,0.726469
Forecast,2023,31/08/2020,13,Southern,0.815947,0.000000,0.815947
Forecast,2023,31/08/2020,14,South Western,0.770740,0.000000,0.770740
Forecast,2024,31/08/2020,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,3,Northern,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,4,North West,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,8,Midlands,0.055837,0.000000,0.055837
Forecast,2024,31/08/2020,9,Eastern,0.217531,0.000000,0.217531
Forecast,2024,31/08/2020,10,South Wales,0.000000,0.000000,0.000000
Forecast,2024,31/08/2020,11,South East,0.627588,0.000000,0.627588
Forecast,2024,31/08/2020,12,London,0.751695,0.000000,0.751695
Forecast,2024,31/08/2020,13,Southern,0.798417,0.000000,0.798417
Forecast,2024,31/08/2020,14,South Western,0.726852,0.000000,0.726852
Forecast,2025,31/08/2020,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,3,Northern,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,4,North West,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,8,Midlands,0.084459,0.000000,0.084459
Forecast,2025,31/08/2020,9,Eastern,0.102495,0.000000,0.102495
Forecast,2025,31/08/2020,10,South Wales,0.000000,0.000000,0.000000
Forecast,2025,31/08/2020,11,South East,0.654999,0.000000,0.654999
Forecast,2025,31/08/2020,12,London,0.631334,0.000000,0.631334
Forecast,2025,31/08/2020,13,Southern,0.850915,0.000000,0.850915
Forecast,2025,31/08/2020,14,South Western,0.942932,0.000000,0.942932
Forecast,2026,31/08/2020,1,Northern Scotland,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,2,Southern Scotland,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,3,Northern,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,4,North West,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,5,Yorkshire,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,6,N Wales & Mersey,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,7,East Midlands,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,8,Midlands,0.000000,0.000000,0.000000
Forecast,2026,31/08/2020,9,Eastern,0.142358,0.000000,0.142358
Forecast,2026,31/08/2020,10,South Wales,0.038944,0.000000,0.038944
Forecast,2026,31/08/2020,11,South East,0.692279,0.000000,0.692279
Forecast,2026,31/08/2020,12,London,0.784324,0.000000,0.784324
Forecast,2026,31/08/2020,13,Southern,0.859251,0.000000,0.859251
Forecast,2026,31/08/2020,14,South Western,1.013372,0.000000,1.013372
